,curve_idx,target,sample_type,sample_id,igi_call,cycle_no,Fn,rn,groundtruth,Igi_call_quant,groundtruth_target
288044,4481,RnaseP,Clinical Sample,S662168,Positive,45,431046.53,431046.53125,1,1,1
288089,4482,RnaseP,Clinical Sample,S661604,Positive,45,403343.25,403343.25,1,1,1
288134,4483,RnaseP,Clinical Sample,S662083,Positive,45,390617.03,390617.03125,1,1,1
288179,4484,RnaseP,Clinical Sample,S661607,Positive,45,357621.2,357621.1875,1,1,1
288224,4485,RnaseP,Clinical Sample,S662091,Positive,45,260776.7,260776.703125,1,1,1
288269,4486,RnaseP,Clinical Sample,S661616,Positive,45,433287.22,433287.21875,1,1,1
288314,4487,RnaseP,Clinical Sample,S662107,Positive,45,482575.5,482575.5,1,1,1
288359,4488,RnaseP,Clinical Sample,S661624,Positive,45,421089.25,421089.25,1,1,1
288404,4490,RnaseP,Clinical Sample,S661642,Positive,45,534869.9,534869.875,1,1,1
288449,4492,RnaseP,Clinical Sample,S662131,Positive,45,407351.4,407351.40625,1,1,1
288494,4493,RnaseP,Clinical Sample,S661630,Positive,45,405028.44,405028.4375,1,1,1
288539,4494,RnaseP,Clinical Sample,S662126,Positive,45,431366.6,431366.59375,1,1,1
288584,4495,RnaseP,Clinical Sample,S661612,Positive,45,516694.3,516694.3125,1,1,1
288629,4528,RnaseP,Clinical Sample,S660296,Positive,45,300402.44,300402.4375,1,1,1
288674,4539,RnaseP,Clinical Sample,S662138,Positive,45,329215.6,329215.59375,1,1,1
288719,4545,RnaseP,Clinical Sample,S660142,Positive,45,306807.9,306807.90625,1,1,1
288764,4546,RnaseP,Clinical Sample,S662146,Positive,45,376315.84,376315.84375,1,1,1
288809,4547,RnaseP,Clinical Sample,S660185,Positive,45,408594.53,408594.53125,1,1,1
288854,4548,RnaseP,Clinical Sample,S662154,Positive,45,384990.56,384990.5625,1,1,1
288899,4549,RnaseP,Clinical Sample,S660129,Positive,45,359099.12,359099.125,1,1,1
288944,4550,RnaseP,Clinical Sample,S662161,Positive,45,405754.3,405754.3125,1,1,1
288989,4551,RnaseP,Clinical Sample,S661592,Positive,45,347571.62,347571.625,1,1,1
289034,4529,RnaseP,Clinical Sample,S662169,Positive,45,362006.78,362006.78125,1,1,1
289079,4530,RnaseP,Clinical Sample,S661603,Positive,45,354283.28,354283.28125,1,1,1
289124,4531,RnaseP,Clinical Sample,S662084,Positive,45,473301.66,473301.65625,1,1,1
289169,4532,RnaseP,Clinical Sample,S661608,Positive,45,400080.0,400080.0,1,1,1
289214,4533,RnaseP,Clinical Sample,S662092,Positive,45,363851.34,363851.34375,1,1,1
289259,4534,RnaseP,Clinical Sample,S661617,Positive,45,289500.72,289500.71875,1,1,1
289304,4535,RnaseP,Clinical Sample,S662108,Positive,45,502181.2,502181.1875,1,1,1
289349,4536,RnaseP,Clinical Sample,S661625,Positive,45,347829.7,347829.6875,1,1,1
289394,4541,RnaseP,Clinical Sample,S661631,Positive,45,412026.12,412026.125,1,1,1
289439,4542,RnaseP,Clinical Sample,S662116,Positive,45,486508.47,486508.46875,1,1,1
289484,4576,RnaseP,Clinical Sample,S660288,Positive,45,300573.16,300573.15625,1,1,1
289529,4587,RnaseP,Clinical Sample,S662139,Positive,45,387352.84,387352.84375,1,1,1
289574,4593,RnaseP,Clinical Sample,S660134,Positive,45,397611.72,397611.71875,1,1,1
289619,4594,RnaseP,Clinical Sample,S662147,Positive,45,344350.53,344350.53125,1,1,1
289664,4595,RnaseP,Clinical Sample,S660193,Positive,45,444653.5,444653.5,1,1,1
289709,4596,RnaseP,Clinical Sample,S662155,Positive,45,390686.1,390686.09375,1,1,1
289754,4597,RnaseP,Clinical Sample,S660225,Positive,45,312865.78,312865.78125,1,1,1
289799,4598,RnaseP,Clinical Sample,S662162,Positive,45,422205.2,422205.1875,1,1,1
289844,4599,RnaseP,Clinical Sample,S661593,Positive,45,375435.78,375435.78125,1,1,1
289889,4577,RnaseP,Clinical Sample,S662077,Positive,45,174420.39,174420.390625,1,1,1
289934,4578,RnaseP,Clinical Sample,S661602,Positive,45,557761.94,557761.9375,1,1,1
289979,4579,RnaseP,Clinical Sample,S662085,Positive,45,489897.34,489897.34375,1,1,1
290024,4580,RnaseP,Clinical Sample,S661609,Positive,45,343355.0,343355.0,1,1,1
290069,4581,RnaseP,Clinical Sample,S662093,Positive,45,419020.62,419020.625,1,1,1
290114,4582,RnaseP,Clinical Sample,S661618,Positive,45,421716.9,421716.90625,1,1,1
290159,4583,RnaseP,Clinical Sample,S662109,Positive,45,518659.22,518659.21875,1,1,1
290204,4584,RnaseP,Clinical Sample,S661626,Positive,45,356928.88,356928.875,1,1,1
290249,4585,RnaseP,Clinical Sample,S662124,Positive,45,443929.88,443929.875,1,1,1
290294,4586,RnaseP,Clinical Sample,S661641,Positive,45,360702.53,360702.53125,1,1,1
290339,4588,RnaseP,Clinical Sample,S662130,Positive,45,482040.8,482040.8125,1,1,1
290384,4589,RnaseP,Clinical Sample,S661632,Positive,45,213039.73,213039.734375,1,1,1
290429,4590,RnaseP,Clinical Sample,S662125,Positive,45,682144.94,682144.9375,1,1,1
290474,59920,RnaseP,Clinical Sample,S987153,Positive,45,232492.94,232492.9375,1,1,1
290519,59931,RnaseP,Clinical Sample,S987654,Positive,45,238700.23,238700.234375,1,1,1
290564,59937,RnaseP,Clinical Sample,S987161,Positive,45,241575.23,241575.234375,1,1,1
290609,59938,RnaseP,Clinical Sample,S987662,Positive,45,201413.02,201413.015625,1,1,1
290654,59939,RnaseP,Clinical Sample,S987169,Positive,45,201476.72,201476.71875,1,1,1
290699,59940,RnaseP,Clinical Sample,S987670,Positive,45,146896.1,146896.09375,1,1,1
290744,59941,RnaseP,Clinical Sample,S987177,Positive,45,329511.97,329511.96875,1,1,1
290789,59942,RnaseP,Clinical Sample,S987678,Positive,45,268541.7,268541.6875,1,1,1
290834,59943,RnaseP,Clinical Sample,S987184,Positive,45,222251.81,222251.8125,1,1,1
290879,59921,RnaseP,Clinical Sample,S987685,Positive,45,181827.92,181827.921875,1,1,1
290924,59922,RnaseP,Clinical Sample,S987635,Negative,45,31842.947,31842.947265625,1,0,1
290969,59923,RnaseP,Clinical Sample,S987693,Positive,45,283073.38,283073.375,1,1,1
291014,59924,RnaseP,Clinical Sample,S987643,Positive,45,299289.53,299289.53125,1,1,1
291059,59925,RnaseP,Clinical Sample,S987701,Positive,45,225878.42,225878.421875,1,1,1
291104,59926,RnaseP,Clinical Sample,S986698,Positive,45,269568.3,269568.3125,1,1,1
291149,59927,RnaseP,Clinical Sample,S987709,Positive,45,178321.08,178321.078125,1,1,1
291194,59928,RnaseP,Clinical Sample,S986724,Positive,45,271002.7,271002.6875,1,1,1
291239,59929,RnaseP,Clinical Sample,S987717,Positive,45,249772.7,249772.703125,1,1,1
291284,59930,RnaseP,Clinical Sample,S986711,Positive,45,293015.3,293015.3125,1,1,1
291329,59932,RnaseP,Clinical Sample,S986938,Positive,45,316169.16,316169.15625,1,1,1
291374,59933,RnaseP,Clinical Sample,S986706,Negative,45,27771.838,27771.837890625,1,0,1
291419,59934,RnaseP,Clinical Sample,S986945,Positive,45,302330.44,302330.4375,1,1,1
291464,59935,RnaseP,Clinical Sample,S986712,Positive,45,186189.75,186189.75,1,1,1
291509,59936,RnaseP,Clinical Sample,S986953,Positive,45,494728.56,494728.5625,1,1,1
291554,59968,RnaseP,Clinical Sample,S987154,Positive,45,370269.7,370269.6875,1,1,1
291599,59979,RnaseP,Clinical Sample,S987655,Positive,45,283565.8,283565.8125,1,1,1
291644,59985,RnaseP,Clinical Sample,S987162,Positive,45,215753.02,215753.015625,1,1,1
291689,59986,RnaseP,Clinical Sample,S987663,Positive,45,254791.36,254791.359375,1,1,1
291734,59987,RnaseP,Clinical Sample,S987170,Positive,45,86934.305,86934.3046875,1,1,1
291779,59988,RnaseP,Clinical Sample,S987671,Positive,45,183928.9,183928.90625,1,1,1
291824,59989,RnaseP,Clinical Sample,S987178,Positive,45,393836.2,393836.1875,1,1,1
291869,59990,RnaseP,Clinical Sample,S987679,Positive,45,214424.69,214424.6875,1,1,1
291914,59991,RnaseP,Clinical Sample,S987628,Positive,45,157733.44,157733.4375,1,1,1
291959,59969,RnaseP,Clinical Sample,S987686,Positive,45,267990.03,267990.03125,1,1,1
292004,59970,RnaseP,Clinical Sample,S987636,Positive,45,112677.49,112677.4921875,1,1,1
292049,59971,RnaseP,Clinical Sample,S987694,Positive,45,295832.62,295832.625,1,1,1
292094,59972,RnaseP,Clinical Sample,S987644,Positive,45,236748.34,236748.34375,1,1,1
292139,59973,RnaseP,Clinical Sample,S987702,Positive,45,249625.75,249625.75,1,1,1
292184,59974,RnaseP,Clinical Sample,S986732,Positive,45,197773.58,197773.578125,1,1,1
292229,59975,RnaseP,Clinical Sample,S987710,Positive,45,202656.84,202656.84375,1,1,1
292274,59976,RnaseP,Clinical Sample,S986725,Positive,45,213704.78,213704.78125,1,1,1
292319,59977,RnaseP,Clinical Sample,S987718,Positive,45,239908.4,239908.40625,1,1,1
292364,59978,RnaseP,Clinical Sample,S986713,Positive,45,250063.69,250063.6875,1,1,1
292409,59980,RnaseP,Clinical Sample,S986939,Positive,45,151596.92,151596.921875,1,1,1
292454,59981,RnaseP,Clinical Sample,S986702,Positive,45,191677.47,191677.46875,1,1,1
292499,59982,RnaseP,Clinical Sample,S986946,Positive,45,152384.16,152384.15625,1,1,1
292544,59983,RnaseP,Clinical Sample,S986714,Positive,45,223994.05,223994.046875,1,1,1
292589,59984,RnaseP,Clinical Sample,S986954,Positive,45,343992.1,343992.09375,1,1,1
292634,60016,RnaseP,Clinical Sample,S987155,Positive,45,256973.9,256973.90625,1,1,1
292679,60027,RnaseP,Clinical Sample,S987656,Positive,45,212613.73,212613.734375,1,1,1
292724,60033,RnaseP,Clinical Sample,S987163,Positive,45,162147.42,162147.421875,1,1,1
292769,60034,RnaseP,Clinical Sample,S987664,Positive,45,229209.31,229209.3125,1,1,1
292814,60035,RnaseP,Clinical Sample,S987171,Positive,45,175529.86,175529.859375,1,1,1
292859,60036,RnaseP,Clinical Sample,S987672,Positive,45,248337.16,248337.15625,1,1,1
292904,60037,RnaseP,Clinical Sample,S987179,Positive,45,168360.45,168360.453125,1,1,1
292949,60038,RnaseP,Clinical Sample,S987680,Positive,45,273147.8,273147.8125,1,1,1
292994,60039,RnaseP,Clinical Sample,S987629,Positive,45,81821.0,81821.0,1,1,1
293039,60017,RnaseP,Clinical Sample,S987687,Positive,45,189475.36,189475.359375,1,1,1
293084,60018,RnaseP,Clinical Sample,S987637,Positive,45,99489.27,99489.2734375,1,1,1
293129,60019,RnaseP,Clinical Sample,S987695,Positive,45,290414.3,290414.3125,1,1,1
293174,60020,RnaseP,Clinical Sample,S987645,Positive,45,304131.84,304131.84375,1,1,1
293219,60021,RnaseP,Clinical Sample,S987703,Positive,45,249809.84,249809.84375,1,1,1
293264,60022,RnaseP,Clinical Sample,S986733,Positive,45,313253.5,313253.5,1,1,1
293309,60023,RnaseP,Clinical Sample,S987711,Positive,45,211703.94,211703.9375,1,1,1
293354,60024,RnaseP,Clinical Sample,S986720,Positive,45,207901.36,207901.359375,1,1,1
293399,60025,RnaseP,Clinical Sample,S987719,Positive,45,240680.25,240680.25,1,1,1
293444,60026,RnaseP,Clinical Sample,S986710,Positive,45,82807.43,82807.4296875,1,1,1
293489,60028,RnaseP,Clinical Sample,S986940,Positive,45,173089.86,173089.859375,1,1,1
293534,60029,RnaseP,Clinical Sample,S986703,Positive,45,113025.32,113025.3203125,1,1,1
293579,60030,RnaseP,Clinical Sample,S986947,Positive,45,296985.6,296985.59375,1,1,1
293624,60031,RnaseP,Clinical Sample,S986717,Positive,45,278212.3,278212.3125,1,1,1
293669,60032,RnaseP,Clinical Sample,S986967,Positive,45,179058.95,179058.953125,1,1,1
293714,60064,RnaseP,Clinical Sample,S987156,Positive,45,260809.31,260809.3125,1,1,1
293759,60075,RnaseP,Clinical Sample,S987657,Positive,45,161331.61,161331.609375,1,1,1
293804,60081,RnaseP,Clinical Sample,S987164,Positive,45,160127.61,160127.609375,1,1,1
293849,60082,RnaseP,Clinical Sample,S987665,Positive,45,143730.83,143730.828125,1,1,1
293894,60083,RnaseP,Clinical Sample,S987172,Positive,45,172733.1,172733.09375,1,1,1
293939,60084,RnaseP,Clinical Sample,S987673,Positive,45,212690.84,212690.84375,1,1,1
293984,60087,RnaseP,Clinical Sample,S987630,Positive,45,166503.56,166503.5625,1,1,1
294029,60065,RnaseP,Clinical Sample,S987688,Positive,45,176017.22,176017.21875,1,1,1
294074,60066,RnaseP,Clinical Sample,S987638,Positive,45,90899.125,90899.125,1,1,1
294119,60067,RnaseP,Clinical Sample,S987696,Positive,45,175209.69,175209.6875,1,1,1
294164,60068,RnaseP,Clinical Sample,S987646,Positive,45,290845.16,290845.15625,1,1,1
294209,60069,RnaseP,Clinical Sample,S987704,Positive,45,251161.08,251161.078125,1,1,1
294254,60070,RnaseP,Clinical Sample,S986730,Positive,45,296846.97,296846.96875,1,1,1
294299,60071,RnaseP,Clinical Sample,S987712,Positive,45,229559.11,229559.109375,1,1,1
294344,60072,RnaseP,Clinical Sample,S986722,Positive,45,276984.0,276984.0,1,1,1
294389,60073,RnaseP,Clinical Sample,S986931,Positive,45,100941.52,100941.5234375,1,1,1
294434,60074,RnaseP,Clinical Sample,S986700,Positive,45,230998.92,230998.921875,1,1,1
294479,60076,RnaseP,Clinical Sample,S986941,Positive,45,153687.86,153687.859375,1,1,1
294524,60077,RnaseP,Clinical Sample,S986704,Positive,45,170081.92,170081.921875,1,1,1
294569,60078,RnaseP,Clinical Sample,S986948,Positive,45,321382.38,321382.375,1,1,1
294614,60079,RnaseP,Clinical Sample,S986721,Positive,45,254542.39,254542.390625,1,1,1
294659,60080,RnaseP,Clinical Sample,S986856,Positive,45,233921.4,233921.40625,1,1,1
294704,60112,RnaseP,Clinical Sample,S987157,Positive,45,150563.81,150563.8125,1,1,1
294749,60123,RnaseP,Clinical Sample,S987658,Positive,45,111000.61,111000.609375,1,1,1
294794,60129,RnaseP,Clinical Sample,S987165,Positive,45,154008.06,154008.0625,1,1,1
294839,60130,RnaseP,Clinical Sample,S987666,Positive,45,127453.5,127453.5,1,1,1
294884,60131,RnaseP,Clinical Sample,S987173,Positive,45,228264.6,228264.59375,1,1,1
294929,60132,RnaseP,Clinical Sample,S987674,Positive,45,159679.78,159679.78125,1,1,1
294974,60133,RnaseP,Clinical Sample,S987180,Positive,45,297209.84,297209.84375,1,1,1
295019,60134,RnaseP,Clinical Sample,S987681,Positive,45,205564.06,205564.0625,1,1,1
295064,60135,RnaseP,Clinical Sample,S987631,Positive,45,132026.27,132026.265625,1,1,1
295109,60113,RnaseP,Clinical Sample,S987689,Positive,45,200478.27,200478.265625,1,1,1
295154,60114,RnaseP,Clinical Sample,S987639,Positive,45,273514.12,273514.125,1,1,1
295199,60115,RnaseP,Clinical Sample,S987697,Positive,45,229271.11,229271.109375,1,1,1
295244,60116,RnaseP,Clinical Sample,S987647,Positive,45,209039.22,209039.21875,1,1,1
295289,60117,RnaseP,Clinical Sample,S987705,Positive,45,255205.56,255205.5625,1,1,1
295334,60118,RnaseP,Clinical Sample,S986731,Positive,45,154014.16,154014.15625,1,1,1
295379,60119,RnaseP,Clinical Sample,S987713,Positive,45,209885.3,209885.296875,1,1,1
295424,60120,RnaseP,Clinical Sample,S986718,Positive,45,216183.45,216183.453125,1,1,1
295469,60121,RnaseP,Clinical Sample,S986932,Positive,45,306644.8,306644.8125,1,1,1
295514,60122,RnaseP,Clinical Sample,S986707,Positive,45,250056.16,250056.15625,1,1,1
295559,60124,RnaseP,Clinical Sample,S986942,Positive,45,131193.44,131193.4375,1,1,1
295604,60125,RnaseP,Clinical Sample,S986701,Positive,45,143596.97,143596.96875,1,1,1
295649,60126,RnaseP,Clinical Sample,S986949,Positive,45,148165.25,148165.25,1,1,1
295694,60127,RnaseP,Clinical Sample,S986728,Positive,45,112415.06,112415.0625,1,1,1
295739,60160,RnaseP,Clinical Sample,S987158,Positive,45,307506.3,307506.3125,1,1,1
295784,60171,RnaseP,Clinical Sample,S987659,Positive,45,152064.03,152064.03125,1,1,1
295829,60177,RnaseP,Clinical Sample,S987166,Positive,45,305660.4,305660.40625,1,1,1
295874,60178,RnaseP,Clinical Sample,S987667,Positive,45,133754.9,133754.90625,1,1,1
295919,60179,RnaseP,Clinical Sample,S987174,Positive,45,198958.84,198958.84375,1,1,1
295964,60180,RnaseP,Clinical Sample,S987675,Positive,45,168630.7,168630.703125,1,1,1
296009,60181,RnaseP,Clinical Sample,S987181,Positive,45,213744.42,213744.421875,1,1,1
296054,60182,RnaseP,Clinical Sample,S987682,Positive,45,140163.38,140163.375,1,1,1
296099,60183,RnaseP,Clinical Sample,S987632,Positive,45,52795.707,52795.70703125,1,1,1
296144,60161,RnaseP,Clinical Sample,S987690,Positive,45,240687.7,240687.703125,1,1,1
296189,60162,RnaseP,Clinical Sample,S987640,Positive,45,53406.83,53406.828125,1,1,1
296234,60163,RnaseP,Clinical Sample,S987698,Positive,45,251568.97,251568.96875,1,1,1
296279,60164,RnaseP,Clinical Sample,S987648,Positive,45,222053.64,222053.640625,1,1,1
296324,60165,RnaseP,Clinical Sample,S987706,Positive,45,123041.86,123041.859375,1,1,1
296369,60166,RnaseP,Clinical Sample,S986727,Positive,45,241245.31,241245.3125,1,1,1
296414,60167,RnaseP,Clinical Sample,S987714,Positive,45,191290.7,191290.703125,1,1,1
296459,60168,RnaseP,Clinical Sample,S986719,Positive,45,87237.62,87237.6171875,1,1,1
296504,60169,RnaseP,Clinical Sample,S986933,Positive,45,354183.22,354183.21875,1,1,1
296549,60170,RnaseP,Clinical Sample,S986708,Positive,45,153924.8,153924.796875,1,1,1
296594,60172,RnaseP,Clinical Sample,S986943,Positive,45,195564.14,195564.140625,1,1,1
296639,60174,RnaseP,Clinical Sample,S986950,Positive,45,130777.875,130777.875,1,1,1
296684,60175,RnaseP,Clinical Sample,S986726,Positive,45,151866.08,151866.078125,1,1,1
296729,60208,RnaseP,Clinical Sample,S987159,Positive,45,59524.832,59524.83203125,1,1,1
296774,60219,RnaseP,Clinical Sample,S987660,Positive,45,163788.3,163788.296875,1,1,1
296819,60225,RnaseP,Clinical Sample,S987167,Positive,45,52356.49,52356.48828125,1,1,1
296864,60226,RnaseP,Clinical Sample,S987668,Positive,45,87237.97,87237.96875,1,1,1
296909,60227,RnaseP,Clinical Sample,S987175,Positive,45,134907.86,134907.859375,1,1,1
296954,60228,RnaseP,Clinical Sample,S987676,Positive,45,104619.91,104619.90625,1,1,1
296999,60229,RnaseP,Clinical Sample,S987182,Positive,45,220257.69,220257.6875,1,1,1
297044,60230,RnaseP,Clinical Sample,S987683,Positive,45,231281.94,231281.9375,1,1,1
297089,60231,RnaseP,Clinical Sample,S987633,Positive,45,75938.516,75938.515625,1,1,1
297134,60209,RnaseP,Clinical Sample,S987691,Positive,45,128772.266,128772.265625,1,1,1
297179,60210,RnaseP,Clinical Sample,S987641,Positive,45,49372.316,49372.31640625,1,1,1
297224,60211,RnaseP,Clinical Sample,S987699,Positive,45,185794.7,185794.703125,1,1,1
297269,60212,RnaseP,Clinical Sample,S987649,Negative,45,34169.945,34169.9453125,1,0,1
297314,60213,RnaseP,Clinical Sample,S987707,Positive,45,82086.97,82086.96875,1,1,1
297359,60214,RnaseP,Clinical Sample,S986729,Negative,45,36222.625,36222.625,1,0,1
297404,60215,RnaseP,Clinical Sample,S987715,Positive,45,156702.47,156702.46875,1,1,1
297449,60216,RnaseP,Clinical Sample,S986715,Positive,45,186219.44,186219.4375,1,1,1
297494,60217,RnaseP,Clinical Sample,S986935,Positive,45,47950.89,47950.890625,1,1,1
297539,60222,RnaseP,Clinical Sample,S986951,Positive,45,84426.8,84426.796875,1,1,1
297584,60223,RnaseP,Clinical Sample,S986734,Positive,45,189168.12,189168.125,1,1,1
297629,60224,RnaseP,Clinical Sample,S986937,Negative,45,39142.074,39142.07421875,1,0,1
297674,60256,RnaseP,Clinical Sample,S987160,Positive,45,91558.85,91558.8515625,1,1,1
297719,60267,RnaseP,Clinical Sample,S987661,Positive,45,98328.18,98328.1796875,1,1,1
297764,60273,RnaseP,Clinical Sample,S987168,Positive,45,132882.03,132882.03125,1,1,1
297809,60274,RnaseP,Clinical Sample,S987669,Positive,45,102869.86,102869.859375,1,1,1
297854,60275,RnaseP,Clinical Sample,S987176,Positive,45,160831.38,160831.375,1,1,1
297899,60276,RnaseP,Clinical Sample,S987677,Positive,45,106128.875,106128.875,1,1,1
297944,60277,RnaseP,Clinical Sample,S987183,Positive,45,109306.266,109306.265625,1,1,1
297989,60278,RnaseP,Clinical Sample,S987684,Positive,45,79563.55,79563.546875,1,1,1
298034,60279,RnaseP,Clinical Sample,S987634,Negative,45,28692.49,28692.490234375,1,0,1
298079,60257,RnaseP,Clinical Sample,S987692,Positive,45,133258.11,133258.109375,1,1,1
298124,60258,RnaseP,Clinical Sample,S987642,Positive,45,141937.02,141937.015625,1,1,1
298169,60259,RnaseP,Clinical Sample,S987700,Positive,45,95871.695,95871.6953125,1,1,1
298214,60260,RnaseP,Clinical Sample,S986699,Positive,45,192587.1,192587.09375,1,1,1
298259,60261,RnaseP,Clinical Sample,S987708,Positive,45,55960.863,55960.86328125,1,1,1
298304,60262,RnaseP,Clinical Sample,S986723,Positive,45,80543.34,80543.34375,1,1,1
298349,60263,RnaseP,Clinical Sample,S987716,Positive,45,83384.805,83384.8046875,1,1,1
298394,60264,RnaseP,Clinical Sample,S986716,Negative,45,41138.54,41138.5390625,1,0,1
298439,60265,RnaseP,Clinical Sample,S986936,Positive,45,215844.77,215844.765625,1,1,1
298484,60266,RnaseP,Clinical Sample,S986705,Positive,45,102952.76,102952.7578125,1,1,1
298529,60268,RnaseP,Clinical Sample,S986944,Positive,45,77743.055,77743.0546875,1,1,1
298574,60269,RnaseP,Clinical Sample,S986709,Positive,45,75249.48,75249.4765625,1,1,1
298619,60270,RnaseP,Clinical Sample,S986952,Negative,45,30015.918,30015.91796875,1,0,1
298664,60271,RnaseP,Clinical Sample,S987627,Positive,45,363281.1,363281.09375,1,1,1
298709,60272,RnaseP,Clinical Sample,S986934,Positive,45,85701.664,85701.6640625,1,1,1
298749,8912,MS2,Clinical Sample,S148474,Positive,40,425683.16,425683.15625,1,1,1
298789,8929,MS2,Clinical Sample,S148469,Positive,40,439029.78,439029.78125,1,1,1
298829,8931,MS2,Clinical Sample,S148449,Positive,40,481798.97,481798.96875,1,1,1
298869,8933,MS2,Clinical Sample,S148480,Positive,40,542806.94,542806.9375,1,1,1
298909,8935,MS2,Clinical Sample,S148479,Positive,40,442464.25,442464.25,1,1,1
298949,8914,MS2,Clinical Sample,S148452,Positive,40,470464.06,470464.0625,1,1,1
298989,8916,MS2,Clinical Sample,S148443,Positive,40,471320.66,471320.65625,1,1,1
299029,8918,MS2,Clinical Sample,S148447,Positive,40,449898.75,449898.75,1,1,1
299069,8936,MS2,Clinical Sample,S148473,Positive,40,682010.6,682010.625,1,1,1
299109,8953,MS2,Clinical Sample,S148468,Positive,40,350331.44,350331.4375,1,1,1
299149,8957,MS2,Clinical Sample,S148434,Positive,40,524669.1,524669.125,1,1,1
299189,8959,MS2,Clinical Sample,S148478,Positive,40,513527.12,513527.125,1,1,1
299229,8938,MS2,Clinical Sample,S148454,Positive,40,553611.75,553611.75,1,1,1
299269,8940,MS2,Clinical Sample,S148441,Positive,40,484536.7,484536.6875,1,1,1
299309,8942,MS2,Clinical Sample,S148448,Positive,40,375942.66,375942.65625,1,1,1
299349,8960,MS2,Clinical Sample,S148472,Positive,40,434656.7,434656.6875,1,1,1
299389,8977,MS2,Clinical Sample,S148457,Positive,40,453442.44,453442.4375,1,1,1
299429,8979,MS2,Clinical Sample,S148430,Positive,40,438262.12,438262.125,1,1,1
299469,8981,MS2,Clinical Sample,S148427,Positive,40,530411.44,530411.4375,1,1,1
299509,8983,MS2,Clinical Sample,S148477,Positive,40,381619.6,381619.59375,1,1,1
299549,8962,MS2,Clinical Sample,S148464,Positive,40,569485.8,569485.8125,1,1,1
299589,8964,MS2,Clinical Sample,S148444,Positive,40,427061.53,427061.53125,1,1,1
299629,8966,MS2,Clinical Sample,S148437,Positive,40,331599.5,331599.5,1,1,1
299669,8984,MS2,Clinical Sample,S148471,Negative,40,205850.83,205850.828125,1,0,1
299709,9001,MS2,Clinical Sample,S148467,Positive,40,413329.16,413329.15625,1,1,1
299749,9003,MS2,Clinical Sample,S148431,Positive,40,382844.4,382844.40625,1,1,1
299789,9007,MS2,Clinical Sample,S080598,Positive,40,441271.44,441271.4375,1,1,1
299829,8986,MS2,Clinical Sample,S148456,Positive,40,509528.34,509528.34375,1,1,1
299869,8988,MS2,Clinical Sample,S148440,Positive,40,504533.34,504533.34375,1,1,1
299909,8990,MS2,Clinical Sample,S148481,Positive,40,449115.75,449115.75,1,1,1
299949,9010,MS2,Clinical Sample,S148470,Positive,40,443973.53,443973.53125,1,1,1
299989,9027,MS2,Clinical Sample,S148455,Positive,40,368174.8,368174.8125,1,1,1
300029,9029,MS2,Clinical Sample,S148432,Positive,40,372699.72,372699.71875,1,1,1
300069,9031,MS2,Clinical Sample,S148435,Positive,40,461581.62,461581.625,1,1,1
300109,9033,MS2,Clinical Sample,S148450,Positive,40,459439.53,459439.53125,1,1,1
300149,9012,MS2,Clinical Sample,S148463,Positive,40,479667.4,479667.40625,1,1,1
300189,9014,MS2,Clinical Sample,S148445,Positive,40,226409.1,226409.09375,1,1,1
300229,9034,MS2,Clinical Sample,S148460,Positive,40,299373.84,299373.84375,1,1,1
300269,9051,MS2,Clinical Sample,S148465,Positive,40,458222.94,458222.9375,1,1,1
300309,9053,MS2,Clinical Sample,S148429,Positive,40,368012.9,368012.90625,1,1,1
300349,9055,MS2,Clinical Sample,S148426,Positive,40,393296.44,393296.4375,1,1,1
300389,9057,MS2,Clinical Sample,S080600,Positive,40,319976.28,319976.28125,1,1,1
300429,9036,MS2,Clinical Sample,S148461,Positive,40,390399.66,390399.65625,1,1,1
300469,9038,MS2,Clinical Sample,S148446,Positive,40,518611.97,518611.96875,1,1,1
300509,9058,MS2,Clinical Sample,S148458,Positive,40,383854.94,383854.9375,1,1,1
300549,9075,MS2,Clinical Sample,S148453,Positive,40,428287.66,428287.65625,1,1,1
300589,9077,MS2,Clinical Sample,S148433,Positive,40,442447.88,442447.875,1,1,1
300629,9079,MS2,Clinical Sample,S148425,Positive,40,415027.47,415027.46875,1,1,1
300669,9081,MS2,Clinical Sample,S148451,Positive,40,371779.2,371779.1875,1,1,1
300709,9060,MS2,Clinical Sample,S148459,Positive,40,299430.03,299430.03125,1,1,1
300749,9062,MS2,Clinical Sample,S148439,Positive,40,448972.12,448972.125,1,1,1
300789,9101,MS2,Clinical Sample,S148462,Positive,40,448536.8,448536.8125,1,1,1
300829,9103,MS2,Clinical Sample,S148428,Positive,40,477456.66,477456.65625,1,1,1
300869,9105,MS2,Clinical Sample,S148436,Positive,40,414692.97,414692.96875,1,1,1
300909,9107,MS2,Clinical Sample,S148466,Positive,40,377879.56,377879.5625,1,1,1
300949,9086,MS2,Clinical Sample,S148442,Positive,40,502660.6,502660.59375,1,1,1
300989,9088,MS2,Clinical Sample,S148438,Positive,40,478430.22,478430.21875,1,1,1
301029,20480,MS2,Clinical Sample,S188779,Positive,40,328992.75,328992.75,1,1,1
301069,20497,MS2,Clinical Sample,S188824,Positive,40,476126.0,476126.0,1,1,1
301109,20504,MS2,Clinical Sample,S188793,Positive,40,302097.2,302097.1875,1,1,1
301149,20521,MS2,Clinical Sample,S188835,Negative,40,317151.0,317151.0,1,0,1
